,SKU,Type,Description,Cost,Quantity (g),Vegan/Non-Vegan,Gluten-Free/Non-Gluten-Free
27,Noosa Yoghurt,Dairy - Yogurt,"Noosa Yoghurt is a creamy, indulgent yogurt made with all-natural ingredients and real fruit purees. Crafted in small batches on the Noosa farm in Colorado, this yogurt is velvety smooth and packed with probiotics for a healthy gut. Available in a variety of delectable flavors, Noosa Yoghurt is a delicious and nutritious treat for any time of day.",$4.21,747,Vegan,Gluten-Free
28,Müller Corner Yogurt,Dairy - Yogurt,"Müller Corner Yogurt is a delicious and creamy yogurt product that comes in a unique corner design, featuring a complementary mix-in such as granola, chocolate balls, or fruit compote. Made with high-quality ingredients and real fruit, Müller Corner Yogurt provides a convenient and indulgent snack option for yogurt lovers on the go. With a wide range of flavors to choose from, including strawberry, vanilla, and blueberry, Müller Corner Yogurt offers a satisfying treat for any time of the day.",$4.50,529,Vegan,Non-Gluten-Free
29,Silk Almond Milk Yogurt,Dairy - Yogurt,"Silk Almond Milk Yogurt is a delicious and creamy dairy-free yogurt made from almond milk. It is a great alternative for those looking for a plant-based, vegan, and lactose-free option. Packed with probiotics and the goodness of almonds, Silk Almond Milk Yogurt is a tasty and nutritious choice for a healthy snack or breakfast option.",$4.16,963,Vegan,Gluten-Free
30,Wonder Bread,Bakery - Bread,"Wonder Bread is a classic white bread that is soft, fluffy, and perfect for sandwiches or toast. Made with simple, high-quality ingredients, this bakery product is loved by all ages for its delicious taste and versatility. Whether you're making a PB&J for the kids or a turkey club for lunch, Wonder Bread is the perfect choice for all your bread needs.",$1.58,313,Non-Vegan,Non-Gluten-Free
31,Sara Lee Bread,Bakery - Bread,"Sara Lee Bread is a delicious and wholesome bread option made with high-quality ingredients and a special blend of flours. Baked fresh daily, it boasts a soft and tender texture with a slightly sweet, nutty flavor. Perfect for sandwiches, toast, or enjoyed on its own, Sara Lee Bread is a favorite choice for families looking for a tasty and nutritious bread option.",$4.42,559,Vegan,Non-Gluten-Free
32,Nature's Own Bread,Bakery - Bread,"Nature's Own Bread is a delicious and wholesome bread product made with the finest natural ingredients. Our bread is baked with care and dedication, using simple, traditional recipes to bring out the best flavor and texture. Made with no artificial preservatives, colors, or flavors, Nature's Own Bread is the perfect choice for those who want a natural, wholesome bread for their everyday meals. With a variety of options including whole wheat, multigrain, and honey wheat, there is a Nature's Own Bread for every taste and preference.",$2.59,974,Vegan,Gluten-Free
33,Dave's Killer Bread,Bakery - Bread,"Dave's Killer Bread is a hearty and nutritious line of bread products made with high-quality, organic ingredients. Each loaf is packed with whole grains, seeds, and fiber, delivering a deliciously dense and satisfying texture. Whether you're looking for a simple slice for your morning toast or a sturdy base for your favorite sandwich, Dave's Killer Bread is sure to become a staple in your kitchen. With a range of flavors to choose from, including organic whole grain, powerseed, and good seed, you can feel good about fueling your day with Dave's Killer Bread.",$2.32,897,Vegan,Gluten-Free
34,Pepperidge Farm Bread,Bakery - Bread,"Pepperidge Farm Bread is a delicious and wholesome bread that is freshly baked at our artisanal bakery. Made with high-quality ingredients, our bread has a soft and chewy texture with a hint of sweetness. Perfect for sandwiches, toasting, or enjoying on its own, Pepperidge Farm Bread is a favorite among those who appreciate the taste of handmade, traditional bread. Whether you're looking for a tasty addition to your meal or a delicious snack, our Pepperidge Farm Bread is sure to satisfy your cravings.",$3.20,145,Vegan,Non-Gluten-Free
35,Oroweat Bread,Bakery - Bread,"Oroweat Bread is a premium bakery bread made with high-quality ingredients and a time-tested recipe. With a soft and fluffy texture, this delicious bread is perfect for making sandwiches, toasting with butter, or serving with a hearty bowl of soup. Made with care by expert bakers, Oroweat Bread is the ideal choice for those who appreciate exceptional taste and quality in their bread.",$4.06,538,Vegan,Non-Gluten-Free
36,Arnold Bread,Bakery - Bread,"Arnold Bread is a delectable selection of artisanal breads made from the finest ingredients. Handcrafted with care and precision, each loaf is baked to perfection, boasting a golden crust and a soft, fluffy interior. From classic white and whole wheat to savory sourdough and hearty multigrain, Arnold Bread offers a variety of mouthwatering options to satisfy every craving. Taste the tradition and quality in every slice of Arnold Bread.",$4.18,216,Vegan,Gluten-Free
37,Aunt Millie's Bread,Bakery - Bread,"Aunt Millie's Bread is a classic and comforting choice for any meal. Made with high-quality ingredients and a secret family recipe, each loaf is baked to perfection, with a soft and fluffy texture and a delicious, slightly sweet flavor. Whether you're making sandwiches, toast, or simply enjoying a slice with butter, Aunt Millie's Bread is sure to satisfy and delight your taste buds.",$3.04,709,Vegan,Non-Gluten-Free
38,Sunbeam Bread,Bakery - Bread,"Sunbeam Bread is a delightful and fluffy loaf of bread that is perfect for sandwiches, toast, or simply enjoying on its own. With a golden-brown crust and a soft, white interior, this bread is a staple for any kitchen. Its light and airy texture makes it a favorite among customers of all ages, and its delicious flavor ensures that every slice is savored to the very last bite. Whether you use it to make a classic PB&J or pair it with your favorite soup, Sunbeam Bread is sure to brighten your day.",$3.33,160,Non-Vegan,Non-Gluten-Free
39,Bimbo Bread,Bakery - Bread,"Bimbo Bread is a classic bakery favorite, known for its soft and fluffy texture, and deliciously fresh taste. Baked to perfection, this bread is perfect for sandwiches, toast, or simply enjoyed on its own. Made with high-quality ingredients, Bimbo Bread is a versatile and satisfying choice for any meal or snack.",$1.83,424,Vegan,Non-Gluten-Free
40,Croissants,Bakery - Pastries,"Flaky, buttery, and delicious, our croissants are a classic French pastry that is perfect for any time of day. Whether you're enjoying it for breakfast with a cup of coffee or as a snack with a filling of your choice, our croissants are sure to satisfy your cravings. Made with high-quality ingredients and baked to perfection, our croissants are a must-try for any pastry lover.",$3.06,925,Non-Vegan,Gluten-Free
41,Danish pastries,Bakery - Pastries,"Our delicious Danish pastries are a buttery and flaky treat that will delight your taste buds. These traditional pastries are filled with sweet fruit or rich cheese, and drizzled with a sweet icing. Perfect for enjoying with a cup of coffee or as a decadent dessert. Treat yourself to a taste of Denmark with our irresistible Danish pastries.",$4.72,144,Non-Vegan,Gluten-Free
42,Turnovers,Bakery - Pastries,"""Turnovers are a delightful and delicious pastry product offered by our bakery. These flaky and buttery pastries are filled with a variety of sweet and savory fillings, such as fruit, cheese, or meat. Perfect for breakfast, a snack, or dessert, our turnovers are a must-try treat for any pastry lover.""",$4.28,503,Vegan,Non-Gluten-Free
43,Scones,Bakery - Pastries,"Scones are freshly baked, flaky pastries that are perfect for breakfast or a midday snack. These delicious treats come in a variety of flavors, including classic plain, blueberry, and cranberry orange. Enjoy them with a cup of hot tea or coffee for a delightful and satisfying treat.",$3.06,491,Vegan,Non-Gluten-Free
44,Eclairs,Bakery - Pastries,"Eclairs are a classic French pastry featuring a light, crispy choux dough filled with decadent vanilla or chocolate custard and topped with a rich chocolate glaze. These indulgent treats are perfect for satisfying sweet cravings and are a popular choice for dessert or a special treat with coffee or tea. Our bakery takes pride in creating these delicious eclairs using the highest quality ingredients for a truly delightful pastry experience.",$3.16,468,Non-Vegan,Non-Gluten-Free
45,Cannoli,Bakery - Pastries,"Cannoli are a traditional Italian pastry made of fried pastry dough filled with a sweet, creamy ricotta cheese filling. Our cannoli are freshly made and filled to order, ensuring a crisp shell and decadent, smooth filling every time. Perfect as a standalone treat or as a delightful addition to any dessert spread.",$2.09,179,Non-Vegan,Non-Gluten-Free
46,Palmier cookies,Bakery - Pastries,"Palmier cookies are delicate, flaky pastries made from puff pastry and sweetened with a caramelized sugar coating. These traditional French treats, also known as Elephant Ears, are perfect for a light and crispy snack with a touch of sweetness. Enjoyed by all ages, Palmier cookies are a delightful addition to any dessert table or afternoon tea.",$3.40,170,Vegan,Gluten-Free
47,Bear claws,Bakery - Pastries,"Bear claws are a delectable pastry treat from our bakery. These large, flaky pastries are filled with a sweet almond paste and topped with sliced almonds, resembling the shape of a bear claw. They are perfect for breakfast, a midday snack, or dessert. Each bite offers a satisfying crunch and a burst of nutty, sweet flavor. Each bear claw is freshly baked and guaranteed to leave you craving for more.",$2.94,368,Vegan,Gluten-Free
48,Rugelach,Bakery - Pastries,"Rugelach is a traditional Jewish pastry made with a flaky, buttery dough and filled with sweet fillings such as cinnamon, nuts, and fruit preserves. These crescent-shaped treats are a popular favorite for their delicious combination of crunchy, sweet, and and mouthwatering flavors. Enjoyed as a delectable teatime snack or a delightful dessert, Rugelach is a beloved pastry that's perfect for any occasion.",$3.79,558,Non-Vegan,Gluten-Free
49,Cream puffs,Bakery - Pastries,"Indulge in the light and airy delight of our Cream Puffs. Made with delicate choux pastry and filled with luscious cream, these pastries are the perfect treat for any occasion. Whether you're enjoying one with a cup of coffee in the morning or serving them at a special event, our Cream Puffs are sure to impress with their decadent taste and beautiful presentation.",$1.46,363,Non-Vegan,Non-Gluten-Free
50,Betty Crocker Super Moist Chocolate Fudge Cake Mix,Bakery - Cakes,"Indulge in the rich and decadent flavor of Betty Crocker Super Moist Chocolate Fudge Cake Mix. This convenient cake mix allows you to effortlessly create a moist and luscious chocolate fudge cake at home. With its easy-to-follow instructions and delicious results, this cake mix is perfect for satisfying your sweet tooth and impressing guests at any gathering. Enjoy the irresistible taste of homemade chocolate fudge cake with Betty Crocker's signature quality and convenience.",$2.37,641,Non-Vegan,Gluten-Free
51,Sara Lee All Butter Pound Cake,Bakery - Cakes,"Indulge in the rich, buttery flavor of Sara Lee All Butter Pound Cake. Baked to perfection with only the finest ingredients, this classic pound cake is moist, dense, and irresistible. Enjoy it on its own, topped with fresh fruit, or as a delicious base for your favorite desserts. Perfect for any occasion, this timeless treat is sure to satisfy your sweet cravings.",$1.37,197,Non-Vegan,Gluten-Free
52,Entenmann's Ultimate Crumb Cake,Bakery - Cakes,"Entenmann's Ultimate Crumb Cake is a delectable treat from our bakery that is sure to satisfy any sweet tooth. This cake features a moist, buttery base and is generously topped with a deliciously rich crumb topping. It is the perfect combination of soft and crunchy, making it a delightful addition to any dessert spread or a tasty treat for any time of day. Enjoy this classic bakery favorite with a cup of coffee or milk for a truly indulgent experience.",$1.44,804,Non-Vegan,Gluten-Free
53,Duncan Hines Signature Perfectly Moist Triple Chocolate Cake Mix,Bakery - Cakes,"Indulge in the ultimate chocolate lover's dream with Duncan Hines Signature Perfectly Moist Triple Chocolate Cake Mix. This decadent cake mix combines rich cocoa, velvety chocolate chips, and creamy chocolate frosting for a triple dose of chocolate in every bite. Baked to perfection, this moist and luscious cake is guaranteed to satisfy your sweet tooth and impress your guests. Perfect for any celebration or simply a delightful treat, this cake mix makes it easy to enjoy a gourmet-quality dessert at home.",$4.46,488,Non-Vegan,Non-Gluten-Free
54,Pepperidge Farm Coconut Layer Cake,Bakery - Cakes,"Indulge in the tropical flavors of Pepperidge Farm's Coconut Layer Cake. Our moist and fluffy cake layers are filled with rich coconut cream and topped with a luscious coconut frosting, creating a decadent dessert that will transport your taste buds to paradise. Perfect for any occasion or as a delightful treat, this Coconut Layer Cake is a must-have for coconut lovers everywhere.",$3.11,312,Vegan,Non-Gluten-Free
55,Pillsbury Moist Supreme Classic White Cake Mix,Bakery - Cakes,"Indulge in the deliciously moist and fluffy Pillsbury Moist Supreme Classic White Cake Mix. This classic white cake mix is perfect for any occasion, from birthdays to holiday celebrations. With its easy-to-use recipe, you can bake the perfect cake every time. Add your favorite frosting or fruit toppings for a personalized touch. Whether you're a baking novice or a seasoned pro, this cake mix will surely delight your taste buds.",$3.03,963,Non-Vegan,Non-Gluten-Free
56,Hostess Twinkies,Bakery - Cakes,"Hostess Twinkies are a classic American treat, loved for their golden sponge cake filled with creamy vanilla filling. These iconic cakes have been a beloved snack for generations, perfect for satisfying your sweet tooth with their indulgent flavor and soft, moist texture. Whether enjoyed as a grab-and-go snack or as part of a decadent dessert, Hostess Twinkies are sure to be a hit with cake lovers of all ages.",$4.55,507,Non-Vegan,Gluten-Free
57,Little Debbie Cosmic Brownies,Bakery - Cakes,"Indulge in the out-of-this-world deliciousness of Little Debbie Cosmic Brownies! These decadent, fudgy brownies are topped with a colorful cosmic sprinkle design, making them an eye-catching and irresistible treat. Perfect for satisfying your sweet tooth, these brownies are perfect for snacking, dessert, or sharing with friends and family. Dive into the universe of flavor with Little Debbie Cosmic Brownies.",$4.07,173,Non-Vegan,Gluten-Free
58,Tastykake Butterscotch Krimpets,Bakery - Cakes,"Indulge in the irresistible flavor of Tastykake Butterscotch Krimpets. These delectable cakes feature a moist sponge cake topped with a luscious butterscotch icing, creating the perfect balance of sweetness and buttery richness. Perfect for special occasions, afternoon treats, or anytime you crave something sweet, Tastykake Butterscotch Krimpets are a must-try for cake lovers everywhere.",$2.19,638,Vegan,Gluten-Free
59,Entenmann's Chocolate Fudge Cake,Bakery - Cakes,"Indulge in the rich and decadent flavor of Entenmann's Chocolate Fudge Cake. Made with moist chocolate cake layers and creamy fudge icing, this delicious treat is perfect for any occasion. Whether you're celebrating a special event or simply craving a sweet pick-me-up, this cake is sure to satisfy your chocolate cravings. Enjoy a slice with a cup of coffee or as a dessert after a delicious meal. Bite into pure chocolate bliss with Entenmann's Chocolate Fudge Cake.",$2.01,825,Non-Vegan,Non-Gluten-Free
60,Gala Apples,Produce - Fruits,"Gala Apples are a sweet and crisp variety of apple with a thin skin and a distinctive red and yellow color. They are perfect for snacking, baking, or adding to salads, and are known for their refreshing and juicy flavor. Gala Apples are a popular choice for those seeking a delicious and versatile fruit option.",$3.79,175,Vegan,Gluten-Free
61,Cavendish Bananas,Produce - Fruits,"Cavendish Bananas are a popular variety of bananas known for their creamy texture and sweet flavor. Grown in tropical regions, these bananas are rich in potassium and provide a convenient and nutritious snack option. Whether enjoyed on their own, added to smoothies, or used in baking, Cavendish Bananas are a versatile and delicious fruit.",$4.66,361,Non-Vegan,Non-Gluten-Free
62,Valencia Oranges,Produce - Fruits,"Valencia Oranges are a sweet and juicy citrus fruit known for their bright orange color and thin, easy-to-peel skin. Grown in the sunny orchards of Valencia, Spain, these oranges are a favorite for eating fresh or juicing. With a perfect balance of tartness and sweetness, Valencia Oranges are the perfect choice for adding a burst of flavor to your favorite dishes or enjoying as a healthy, refreshing snack.",$3.34,896,Non-Vegan,Non-Gluten-Free
63,Honeycrisp Apples,Produce - Fruits,"Honeycrisp Apples are a premium variety of apples known for their exceptionally crispy and juicy texture. These apples are sweet with a hint of tartness, making them perfect for snacking, baking, or adding to salads. With their distinctively crunchy bite and delicious flavor, Honeycrisp Apples are a favorite choice for those who appreciate high-quality, fresh fruit.",$2.06,795,Non-Vegan,Non-Gluten-Free
64,Sweet Cherries,Produce - Fruits,"Sweet Cherries are plump and juicy fruits with a deep red color and a distinct, sweet flavor. These cherries are perfect for snacking, adding to fruit salads, or using in desserts and baked goods. Enjoy the natural sweetness and refreshing taste of Sweet Cherries as a healthy and delicious treat.",$4.28,623,Vegan,Non-Gluten-Free
65,Red Grapes,Produce - Fruits,"Red Grapes are plump, juicy and sweet fruits that make for a delicious and healthy snack. They are packed with natural antioxidants and vitamins, making them a great addition to any diet. Enjoy them as a stand-alone snack or use them to add a touch of sweetness to salads and desserts.  Their vibrant red color and refreshing flavor make them a popular choice for both kids and adults.",$1.20,594,Vegan,Non-Gluten-Free
66,Pink Lady Apples,Produce - Fruits,"Pink Lady Apples are a sweet and tangy variety of apple with a crisp and juicy texture. They are known for their distinctive pink and green skin and are a popular choice for snacking, baking, and adding to salads. With their refreshing taste and beautiful appearance, Pink Lady Apples are a delicious and versatile fruit option.",$3.33,993,Non-Vegan,Non-Gluten-Free
67,Bartlett Pears,Produce - Fruits,"Bartlett pears are a sweet and juicy variety of pear with a smooth, yellow-green skin. These pears are perfect for snacking, baking, or adding to salads for a refreshing burst of flavor. They are a versatile and popular fruit that can be enjoyed on their own or incorporated into a wide range of culinary dishes.",$4.44,846,Vegan,Gluten-Free
68,Ripe Mangos,Produce - Fruits,"Our Ripe Mangos are sweet, juicy and bursting with tropical flavor. These vibrant yellow mangos are picked at peak ripeness to ensure the perfect combination of sweetness and tartness. Whether enjoyed on their own or added to smoothies, salads or salsas, our Ripe Mangos are a delicious and nutritious addition to any meal or snack. Savor the taste of summer with our irresistible Ripe Mangos.",$4.47,305,Non-Vegan,Non-Gluten-Free
69,Golden Pineapples,Produce - Fruits,"Our Golden Pineapples are a tropical delight, bursting with sweet and tangy flavor. Grown in the most pristine conditions, these pineapples are hand-selected for their golden color and exceptional juiciness. Enjoy them on their own or add them to fruit salads, smoothies, or cocktails for a taste of sunshine in every bite. Whether you're looking for a healthy snack or a refreshing treat, our Golden Pineapples are the perfect choice.",$2.32,855,Non-Vegan,Gluten-Free
70,Carrots,Produce - Vegetables,"Our fresh and crisp carrots are a classic staple in any kitchen. These versatile vegetables are perfect for snacking, cooking, or adding to soups and stews. Packed with essential vitamins and minerals, our carrots are grown with care and are a healthy addition to any meal. Enjoy the natural sweetness and vibrant orange color of our premium quality carrots.",$2.16,389,Non-Vegan,Non-Gluten-Free
71,Broccoli,Produce - Vegetables,"Fresh and vibrant, our broccoli is packed with nutrition and flavor. This versatile vegetable can be enjoyed steamed, roasted, or added to stir-fries and salads. Grown to perfection and picked at peak ripeness, our broccoli is a delicious addition to any meal.",$2.98,559,Vegan,Non-Gluten-Free
