name,family,title,description
Passion-Fruit,Passion-Fruit,Passion fruit Class 1,Country: Colombia Description: Passion fruit is a small; round or oval fruit with yellow or dark brownish purple dented shell. Passion fruit's interior consists of many small edible kernels surrounded by succulent pulp. The taste is rich and fresh; and reminiscent of raspberries and orange.
Peach,Peach,Peach Class 1,Country and volume: Italy; ca 175g Description: Peach is a stone fruit with yellow or orange pulp and velvety shell. Suitable for eating naturally but can also be used for pastry; marmalade and jam.
Anjou,Pear,Pear Anjou,Country and volume: Argentina; ca 170g Description: Anjou pear is a classic pear shaped with rounded stalk with a thin yellowish green shell. The pulp is juicy and has a sweet; nice taste. Anjou is an excellent table fruit that also fits in pastries; then rather unripe.
Conference,Pear,Pear Conference Class 1,Country and volume: The Netherlands; ca 200g Description: Conference is a medium sized pear with long-tapered bottle like shape and a rounded base. To the color; the Conference pear is light greenish yellow with gold brown spots. Pears taste the most when they are really ripe. Suitable for desserts; cheese tray or to eat as it is.
Kaiser,Pear,Pear Bosc-kaiser Class 1,Country and volume: Italy; ca 150g Description: The Kaiser Pear is drip-shaped with matte; medium-thick; flaming yellow-brown or brownish shell. The yellowish white pulp is crispy; juicy and sweet; with some fresh acid. Kaiser pears match very well with dessert cheeses and wine; but it is also good to cook; as it retains its shape well.
Pineapple,Pineapple,Pineapple Klass 1,Country: Costa Rica Description: Pineapple fits well to be eaten naturally in for example desserts and fruit salad. Remember to remove the log in the middle.
Plum,Plum,Plum Red Class 1,Country and volume: Chile; ca 70g Description: Ripe plums have soft and juicy pulp with sweet taste. Suitable for being eaten naturally; but is also used for preserving and pastries.
Pomegranate,Pomegranate,Pomegranate Klass 1,Country and volume: Peru; ca 440g Description: Pomegranate has a sweet; gentle and refreshing taste; making pomegranate suitable for salads and desserts. It is only the kernels of the fruit that you eat. These are taken out by first cutting around the apple without destroying the core. Then turn both halves in opposite directions until they loosen. Finally; the kernels are loosened by knocking a wooden slab on the shell of the half; preferably over a bowl.
Red-Grapefruit,Red-Grapefruit,Grapefruit Red Klass 1,Country: Israel Description: The red grapefruit has a red pulp and a slightly pink colored peel. The taste is characteristically bitter; but at the same time fresh and sour. The red grapefruit is sweeter than the blonde grapefruit.
Satsumas,Satsumas,Satsumas Class 1,Country and volume: Spain; ca 100g Description: Satsumas is a sweet and small type of citrus fruit. The fruit is popular as a snack.
Bravo-Apple-Juice,Juice,Äpple Juice,Manufacturer and volume: BRAVO ; 2l Manufacturing country: Sweden Ingredients: Äpplejuice. Juice från koncentrat. 2 liter motsvarar juice från ca 3 kg äpple.Nutrition values per 100 gram:    energi ca 180 kilojoule    energi ca 45 kilokalori    fett ca 0 gram    varav mättat fett ca 0 gram    kolhydrat ca 9.5 gram    varav sockerarter ca 9.5 gram    fiber ca 0.2 gram    protein ca 0 gram    salt ca 0 gram    energi ca 180 kilojoule    energi ca 45 kilokalori    fett ca 0 gram    varav mättat fett ca 0 gram    kolhydrat ca 9.5 gram    varav sockerarter ca 9.5 gram    fiber ca 0.2 gram    protein ca 0 gram    salt ca 0 gram
Bravo-Orange-Juice,Juice,Apelsinjuice Drickfärdig Juice,Manufacturer and volume: BRAVO ; 2l Manufacturing country: Sweden Ingredients: Apelsinjuice. Juice från koncentrat. 2 liter motsvarar juice från ca 4 kg apelsiner.Nutrition values per 100 gram:    energi ca 45 kilokalori    energi ca 180 kilojoule    fett ca 0 gram    varav mättat fett ca 0 gram    kolhydrat ca 9 gram    varav sockerarter ca 9 gram    fiber ca 0.4 gram    protein ca 0.7 gram    salt ca 0 gram    vitamin C ca 28 milligram    energi ca 45 kilokalori    energi ca 180 kilojoule    fett ca 0 gram    varav mättat fett ca 0 gram    kolhydrat ca 9 gram    varav sockerarter ca 9 gram    fiber ca 0.4 gram    protein ca 0.7 gram    salt ca 0 gram    vitamin C ca 28 milligram
God-Morgon-Apple-Juice,Juice,Äpple Juice med Fruktkött Från Koncentrat,Manufacturer and volume: GOD MORGON ; 1l Manufacturing country: Denmark Ingredients: Ofiltrerad äppeljuice från koncentrat; äppelpuré och C-vitamin. Pastöriserad.Nutrition values per 100 gram:    energi ca 170 kilojoule    energi ca 40 kilokalori    fett ca 0.1 gram    varav mättat fett ca 0 gram    kolhydrat ca 10 gram    varav sockerarter ca 10 gram    protein ca 0.1 gram    salt ca 0.03 gram    vitamin C ca 40 milligram    energi ca 170 kilojoule    energi ca 40 kilokalori    fett ca 0.1 gram    varav mättat fett ca 0 gram    kolhydrat ca 10 gram    varav sockerarter ca 10 gram    protein ca 0.1 gram    salt ca 0.03 gram    vitamin C ca 40 milligram
God-Morgon-Orange-Juice,Juice,Apelsinjuice,Manufacturer and volume: GOD MORGON ; 1l Manufacturing country: Denmark Ingredients: Apelsinjuice från koncentrat med fruktkött (5;5%). Pastöriserad.Nutrition values per 100 gram:    energi ca 180 kilojoule    energi ca 45 kilokalori    fett ca 0.1 gram    varav mättat fett ca 0 gram    kolhydrat ca 9.5 gram    varav sockerarter ca 9.3 gram    protein ca 0.6 gram    salt ca 0.05 gram    vitamin C ca 30 milligram    energi ca 180 kilojoule    energi ca 45 kilokalori    fett ca 0.1 gram    varav mättat fett ca 0 gram    kolhydrat ca 9.5 gram    varav sockerarter ca 9.3 gram    protein ca 0.6 gram    salt ca 0.05 gram    vitamin C ca 30 milligram
God-Morgon-Orange-Red-Grapefruit-Juice,Juice,Apelsin Blodgrape Juice med Fruktkött,Manufacturer and volume: GOD MORGON ; 1l Manufacturing country: Denmark Ingredients: Apelsin- (57 %) och röd grapejuice (38%) från koncentrat; fruktkött från apelsin och röd grapefrukt(5%). Pastöriserad.Nutrition values per 100 gram:    energi ca 40 kilokalori    energi ca 160 kilojoule    energi ca 40 kilokalori    energi ca 160 kilojoule
God-Morgon-Red-Grapefruit-Juice,Juice,Blodgrape Juice med Fruktkött,Manufacturer and volume: GOD MORGON ; 1l Manufacturing country: Denmark Ingredients: Juice av röd grape med (3;5%) fruktkött från koncentrat. Pastöriserad.Nutrition values per 100 gram:    energi ca 140 kilojoule    energi ca 35 kilokalori    fett ca 0.1 gram    varav mättat fett ca 0 gram    kolhydrat ca 8 gram    varav sockerarter ca 8 gram    protein ca 0.3 gram    salt ca 0.04 gram    vitamin C ca 20 milligram    energi ca 140 kilojoule    energi ca 35 kilokalori    fett ca 0.1 gram    varav mättat fett ca 0 gram    kolhydrat ca 8 gram    varav sockerarter ca 8 gram    protein ca 0.3 gram    salt ca 0.04 gram    vitamin C ca 20 milligram
Tropicana-Apple-Juice,Juice,Äpple Färskpressad Juice,Manufacturer and volume: TROPICANA ; 1l Manufacturing country: Sverige Ingredients: Äpple-/ Eple-/ Æblejuice; antioxidant: askorbinsyra/ askorbinsyre (Vitamin C).Nutrition values per 100 gram:    energi ca 51 kilokalori    energi ca 219 kilojoule    fett ca 0 gram    varav mättat fett ca 0 gram    kolhydrat ca 12 gram    varav sockerarter ca 12 gram    fiber ca 0.6 gram    protein ca 0.1 gram    salt ca 0 gram    vitamin C ca 41 milligram
Tropicana-Golden-Grapefruit,Juice,Golden Grapefruit Färskpressad Juice,Manufacturer and volume: TROPICANA ; 1l Manufacturing country: Sverige Ingredients: Ingredienser/ Ainesosat: Grapefruktjuice med fruktkött/fruktkjøtt / frugtkød/ Greippitäysmehua (Sisältää hedelmälihaa).Nutrition values per 100 gram:    energi ca 40 kilokalori    energi ca 168 kilojoule    fett ca 0 gram    varav mättat fett ca 0 gram    kolhydrat ca 8 gram    varav sockerarter ca 8 gram    fiber ca 0.5 gram    protein ca 0.5 gram    salt ca 0 gram    vitamin C ca 25 milligram
Tropicana-Juice-Smooth,Juice,Smooth Style Utan Fruktkött Färskpressad Juice,Manufacturer and volume: TROPICANA ; 1l Manufacturing country: Sverige Ingredients: 100% Apelsinjuice utan fruktkött/ 100% appelsinjuice uten fruktkjøtt / 100% appelsinjuice uden frugtkød.Nutrition values per 100 gram:    energi ca 201 kilojoule    energi ca 48 kilokalori    fett ca 0 gram    varav mättat fett ca 0 gram    kolhydrat ca 10 gram    varav sockerarter ca 10 gram    fiber ca 0.40 gram    protein ca 0.80 gram    salt ca 0 gram    vitamin c ca 33 milligram
Tropicana-Mandarin-Morning,Juice,Mandarin Grape Orange Färskpressad Juice,Manufacturer and volume: TROPICANA ; 1l Manufacturing country: Sweden Ingredients: Juice av mandariner (38%); apelsiner/appelsiner med fruktkött/fruktkjøtt/frugtkød (34%); äpple/eple/æble (18%) och/og gröna druvor/druer (10%).Nutrition values per 100 gram:    energi ca 196 kilojoule    energi ca 46 kilokalori    fett ca 0 gram    varav mättat fett ca 0 gram    kolhydrat ca 10 gram    varav sockerarter ca 10 gram    fiber ca 0.7 gram    protein ca 0.5 gram    salt ca 0 gram    vitamin C ca 9 milligram
Arla-Ecological-Medium-Fat-Milk,Milk,Skimmed milk Ecological 1.5%,Manufacturer and volume: ARLA ; 1l Manufacturing country: Sweden Ingredients: Milk; vitamin D. KRAV- organic ingredient. Lowpasteurized.Nutrition values per 100 gram:    energy ca 200 kilojoule    energy ca 45 kilocalorie   fat ca 1.5 gram    of which saturated fat ca 1 gram    carbohydrate ca 4.9 gram    of which sugars ca 4.9 gram    protein ca 3.5 gram    salt ca 0.1 gram    vitamin D ca 1 mikrogram    riboflavin ca 0.15 milligram    folic acid ca 15 mikrogram    vitamin B12 ca 0.6 mikrogram    pantothenic acid ca 0.5 milligram    potassium ca 160 milligram    chlorine ca 95 milligram    calcium ca 120 milligram    phosphorus ca 105 milligram    molybdenum ca 4.7 mikrogram    iodine ca 12 mikrogram
Arla-Lactose-Medium-Fat-Milk,Milk,"Skimmed milk lactose free 1,5%",Manufacturer and volume: ARLA KO; 1l Manufacturing country: Sweden Ingredients: Milk; lactase; vitamin D. Pasteurized.Nutrition values per 100 gram:    energy ca 160 kilojoule    energy ca 40 kilocalorie    fat ca 1.5 gram    of which saturated fat ca 1 gram    carbohydrate ca 2.7 gram    of which sugars ca 2.7 gram    protein ca 3.6 gram    salt ca 0.1 gram    vitamin D ca 1 mikrogram    riboflavin ca 0.14 milligram    vitamin B12 ca 0.6 mikrogram    calcium ca 120 milligram
Arla-Medium-Fat-Milk,Milk,"Skimmed milk 1,5%",Manufacturer and volume: ARLA KO ; 1l Manufacturing country: Sweden Ingredients: Milk; vitamin D. Lowpasteurized.Nutrition values per 100 gram:    energy ca 200 kilojoule    energy ca 45 kilocalorie    fat ca 1.5 gram    of which saturated fat ca 1 gram    carbohydrate ca 4.9 gram    of which sugars ca 4.9 gram    protein ca 3.5 gram    salt ca 0.1 gram    vitamin D ca 1 microgram    riboflavin ca 0.15 milligram    folic acid ca 15 microgram    vitamin B12 ca 0.6 microgram    pantothenic acid ca 0.5 milligram    potassium ca 160 milligram    chlorine ca 95 milligram    calcium ca 120 milligram    phosphorus ca 105 milligram    molybdenum ca 4.7 microgram    iodine ca 12 microgram
Arla-Standard-Milk,Milk,Mjölk 3%,Manufacturer and volume: ARLA KO ; 1l Manufacturing country: Sweden Ingredients: MJÖLK; vitamin D. Lågpastöriserad.Nutrition values per 100 gram:    energi ca 250 kilojoule    energi ca 60 kilokalori    fett ca 3 gram    varav mättat fett ca 1.9 gram    kolhydrat ca 4.8 gram    varav sockerarter ca 4.8 gram    protein ca 3.4 gram    salt ca 0.1 gram    vitamin D ca 1 mikrogram    riboflavin ca 0.15 milligram    folsyra ca 15 mikrogram    vitamin B12 ca 0.6 mikrogram    pantotensyra ca 0.5 milligram    kalium ca 160 milligram    klor ca 95 milligram    kalcium ca 120 milligram    fosfor ca 105 milligram    molybden ca 4.7 mikrogram    jod ca 12 mikrogram    energi ca 250 kilojoule    energi ca 60 kilokalori    fett ca 3 gram    varav mättat fett ca 1.9 gram    kolhydrat ca 4.8 gram    varav sockerarter ca 4.8 gram    protein ca 3.4 gram    salt ca 0.1 gram    vitamin D ca 1 mikrogram    riboflavin ca 0.15 milligram    folsyra ca 15 mikrogram    vitamin B12 ca 0.6 mikrogram    pantotensyra ca 0.5 milligram    kalium ca 160 milligram    klor ca 95 milligram    kalcium ca 120 milligram    fosfor ca 105 milligram    molybden ca 4.7 mikrogram    jod ca 12 mikrogram
Garant-Ecological-Medium-Fat-Milk,Milk,"Mellanmjölk Ekologisk 1,5%",Manufacturer and volume: GARANT EKO ; 1l Manufacturing country: Sverige Ingredients: INGREDIENSER: Lågpastöriserad MJÖLK*; vitamin D. *KRAV-godkänd råvara.Nutrition values per 100 gram:    energi ca 200 kilojoule    energi ca 45 kilokalori    fett ca 1.50 gram    varav mättat fett ca 1 gram    kolhydrat ca 4.90 gram    varav sockerarter ca 4.90 gram    protein ca 3.50 gram    salt ca 0.10 gram    vitamin d ca 0.45 mikrogram    riboflavin ca 0.15 milligram    vitamin b12 ca 0.60 mikrogram    kalcium ca 120 milligram    jod ca 12 mikrogram
Garant-Ecological-Standard-Milk,Milk,Standardmjölk Ekologisk 3%,Manufacturer and volume: GARANT EKO ; 1l Manufacturing country: Sweden Ingredients: INGREDIENSER: Lågpastöriserad MJÖLK*. *KRAV-godkänd råvara.Nutrition values per 100 gram:    energi ca 60 kilokalori    energi ca 260 kilojoule    fett ca 3 gram    varav mättat fett ca 1.9 gram    kolhydrat ca 4.8 gram    varav sockerarter ca 4.8 gram    protein ca 3.4 gram    salt ca 0.1 gram    riboflavin ca 0.15 milligram    vitamin B12 ca 0.6 mikrogram    kalcium ca 120 milligram    jod ca 12 mikrogram
Oatly-Natural-Oatghurt,Oatghurt,Havregurt Naturell,Manufacturer and volume: OATLY ; 1kg Manufacturing country: Sverige Description: Helt vegetabilisk gurt; används som yogurt. Kan med fördel även användas till kalla såser.Ingredients: INGREDIENSER: Syrad havrebas (vatten; HAVRE 12%; syrningskultur); potatisstärkelse; rapsolja; kalciumkarbonat; kalciumfosfat; naturlig arom; vitaminer (D2; riboflavin och B12).Nutrition values per 100 gram:    energi ca 280 kilojoule    energi ca 70 kilokalori    fett ca 2.2 gram    varav mättat fett ca 0.2 gram    kolhydrat ca 10 gram    varav sockerarter ca 4.6 gram    fiber ca 1 gram    protein ca 1.2 gram    salt ca 0 gram    vitamin D ca 1.5 mikrogram    riboflavin ca 0.21 milligram    vitamin B12 ca 0.38 mikrogram    kalcium ca 120 milligram
Oatly-Oat-Milk,Oat-Milk,Havredryck Berikad Färsk,Manufacturer and volume: OATLY ; 1l Manufacturing country: Sverige Ingredients: INGREDIENSER: Havrebas (vatten; HAVRE 10 %); rapsolja; kalciumkarbonat; kalciumfosfater; joderat salt; vitaminer (D2; riboflavin och B12).Nutrition values per 100 gram:    energi ca 190 kilojoule    energi ca 50 kilokalori    fett ca 1.5 gram    varav mättat fett ca 0.2 gram    kolhydrat ca 6.6 gram    varav sockerarter ca 4.1 gram    fiber ca 0.8 gram    protein ca 1 gram    salt ca 0.11 gram    vitamin D ca 1.5 mikrogram    riboflavin ca 0.21 milligram    vitamin B12 ca 0.38 mikrogram    kalcium ca 120 milligram
Arla-Ecological-Sour-Cream,Sour-Cream,Sour cream ecological 12%,Manufacturer and volume: ARLA KO; 3dl Manufacturing country: SwedenIngredients: Cream (Pasteurized) fat content 12%; starter culture. *KRAV organic ingredients.Nutrition values per 100 gram:    energy ca 550 kilojoule    energy ca 140 kilocalorie   fat ca 12 gram    of which saturated fat ca 7.7 gram    carbohydrate ca 3.4 gram    of which sugars ca 3.4 gram    protein ca 3.1 gram    salt ca 0.1 gram
Arla-Sour-Cream,Sour-Cream,Gräddfil 12%,Manufacturer and volume: ARLA KO ; 3dl Manufacturing country: Sweden Ingredients: Högpastöriserad GRÄDDE fetthalt 12% och syrningskultur.Nutrition values per 100 gram:    energi ca 550 kilojoule    energi ca 140 kilokalori    fett ca 12 gram    varav mättat fett ca 7.7 gram    kolhydrat ca 3.4 gram    varav sockerarter ca 3.4 gram    protein ca 3.1 gram    salt ca 0.1 gram    energi ca 550 kilojoule    energi ca 140 kilokalori    fett ca 12 gram    varav mättat fett ca 7.7 gram    kolhydrat ca 3.4 gram    varav sockerarter ca 3.4 gram    protein ca 3.1 gram    salt ca 0.1 gram
Arla-Sour-Milk,Sour-Milk,Filmjölk 3%,Manufacturer and volume: ARLA KO ; 1kg Manufacturing country: Sweden Ingredients: Högpastöriserad MJÖLK; filkultur; vitamin D.Nutrition values per 100 gram:    energi ca 250 kilojoule    energi ca 60 kilokalori    fett ca 3 gram    varav mättat fett ca 1.9 gram    kolhydrat ca 3.8 gram    varav sockerarter ca 3.8 gram    protein ca 3.4 gram    salt ca 0.1 gram    vitamin D ca 1 mikrogram    kalcium ca 120 milligram    energi ca 250 kilojoule    energi ca 60 kilokalori    fett ca 3 gram    varav mättat fett ca 1.9 gram    kolhydrat ca 3.8 gram    varav sockerarter ca 3.8 gram    protein ca 3.4 gram    salt ca 0.1 gram    vitamin D ca 1 mikrogram    kalcium ca 120 milligram
Alpro-Blueberry-Soyghurt,Soyghurt,Blueberry Yofu Soyghurt,Manufacturer and volume: ALPRO ; 750g Ingredients: Water; sugar; peeled soy beans (7;2%); blueberry (6%); glucose-fructose syrup; tricalcium citrate; acidity regulator (sodium citrate; citric acid); stabilizer (pectin); natural aroma; hibiscus and carrot juice concentrate; sea salt; vitamins (riboflavin (B2); B12; D2); antioxdant (tokopherol; ascorbyl palmitate); yoghurt culture (S. thermophilus; L. bulgaricus).Nutrition values per 100 gram:    energy ca 76 kilocalorie    energy ca 322 kilojoules    fat ca 1.9 gram    of which saturated fat ca 0.3 gram    carbohydrate ca 10.1 gram    of which sugars ca 10.1 gram    fiber ca 0.9 gram    protein ca 3.6 gram    salt ca 0.1 gram    vitamin D ca 0.75 mikrogram    riboflavin ca 0.21 milligram    vitamin B12 ca 0.44 mikrogram    calcium ca 120 milligram
Alpro-Vanilla-Soyghurt,Soyghurt,Mild & Creamy Vanilla Soyghurt,Manufacturer and volume: ALPRO ; 750g Ingredients: Water; sugar; peeled soy beans (7;5%); tricalcium citrate; stabilizer (pectin); acidity regulator (sodium citrate; citric acid); vanilla powder (0;3%); aroma; dye (mixed carotene); sea salt; antioxidant (tokopherol; ascorbyl palmitate); yoghurt culture (S. thermophilus; L. bulgaricus); vitamins (riboflavin (B2); B12; D2)Nutrition values per 100 gram:    energy ca 334 kilojoule    energy ca 79 kilocalorie   fat ca 2.2 gram    of which saturated fat ca 0.4 gram    carbohydrate ca 9.2 gram    of which sugars ca 9.2 gram    fiber ca 0.6 gram    protein ca 3.7 gram    sodium ca 0.1 gram    vitamin D ca 0.75 mikrogram    riboflavin ca 0.37 milligram    vitamin B12 ca 0.44 mikrogram    calcium ca 120 milligram
Alpro-Fresh-Soy-Milk,Soy-Milk,Soy drink Calcium Fresh,Manufacturer and volume: ALPRO ; 1l Ingredients: Water; peeled soy beans (5;9%); sugar; tricalcium phosphate; sea salt; stabilizer (gellan gum); aroma; vitamins (riboflavin (B2); B12; D2).Nutrition values per 100 gram:    energy ca 158 kilojoule    energy ca 38 kilocalorie    fat ca 1.8 gram    of which saturated fat ca 0.3 gram    carbohydrate ca 2.3 gram    of which sugars ca 2.3 gram    fiber ca 0.5 gram    protein ca 3 gram    salt ca 0.11 gram    vitamin D ca 0.75 mikrogram    riboflavin ca 0.21 milligram    vitamin B12 ca 0.38 mikrogram    calcium ca 120 milligram
Alpro-Shelf-Soy-Milk,Soy-Milk,Soy drink calcium,Manufacturer and volume: ALPRO ; 1l Ingredients: Water; peeled soy beans (8%); sugar; calcium carbonates; acidity regulator (potassium phosphate); sea salt; stabilizer (gellan gum); aroma; vitamins ((B2; B12; D2).Nutrition values per 100 gram:    energy ca 163 kilojoule    energy ca 39 kilokalori    fat ca 1.8 gram    of which saturated fatca 0.3 gram    carbohydrate ca 2.5 gram    of which sugars ca 2.5 gram    fiber ca 0.5 gram    protein ca 3 gram    salt ca 0.11 gram    vitamin D ca 0.75 mikrogram    riboflavin ca 0.21 milligram    vitamin B12 ca 0.38 mikrogram    calcium ca 120 milligram
Arla-Mild-Vanilla-Yoghurt,Yoghurt,Mild Yoghurt Vanilla,Manufacturer and volume: ARLA KO ; 1l Manufacturing country: Sweden Ingredients: Pasteurized milk; sugar 5%; milk protein; natural aroma; vanilla extract; mild yoghurt culture; vitamin D.Nutrition values per 100 gram:    energy ca 300 kilojoule    energy ca 70 kilocalorie    fat ca 2 gram    of which saturated fat ca 1.2 gram    carbohydrate ca 8.6 gram    of which sugars ca 8.5 gram    protein ca 3.9 gram    salt ca 0.1 gram    vitamin D ca 1 microgram
Arla-Natural-Mild-Low-Fat-Yoghurt,Yoghurt,"Mild Lättyoghurt Naturell 0,5%",Manufacturer and volume: ARLA KO ; 1l Manufacturing country: Sweden Ingredients: Högpastöriserad mjölk; mjölkprotein; mild yoghurtkultur; vitamin D.Nutrition values per 100 gram:    energi ca 170 kilojoule    energi ca 40 kilokalori    fett ca 0.5 gram    varav mättat fett ca 0.3 gram    kolhydrat ca 4 gram    varav sockerarter ca 4 gram    protein ca 4.1 gram    salt ca 0.1 gram    vitamin D ca 1 mikrogram    kalcium ca 120 milligram    energi ca 170 kilojoule    energi ca 40 kilokalori    fett ca 0.5 gram    varav mättat fett ca 0.3 gram    kolhydrat ca 4 gram    varav sockerarter ca 4 gram    protein ca 4.1 gram    salt ca 0.1 gram    vitamin D ca 1 mikrogram    kalcium ca 120 milligram
Arla-Natural-Yoghurt,Yoghurt,Yoghurt Naturell,Manufacturer and volume: ARLA KO ; 1l Manufacturing country: Sweden Ingredients: Högpastöriserad mjölk och yoghurtkultur; vitamin D.Nutrition values per 100 gram:    energi ca 250 kilojoule    energi ca 60 kilokalori    fett ca 3 gram    varav mättat fett ca 1.9 gram    kolhydrat ca 3.6 gram    varav sockerarter ca 3.6 gram    protein ca 3.4 gram    salt ca 0.1 gram    vitamin D ca 1 mikrogram    kalcium ca 120 milligram    energi ca 250 kilojoule    energi ca 60 kilokalori    fett ca 3 gram    varav mättat fett ca 1.9 gram    kolhydrat ca 3.6 gram    varav sockerarter ca 3.6 gram    protein ca 3.4 gram    salt ca 0.1 gram    vitamin D ca 1 mikrogram    kalcium ca 120 milligram
Valio-Vanilla-Yoghurt,Yoghurt,Vaniljyoghurt Original 2%,Manufacturer and volume: VALIO ; 1kg Manufacturing country: Finland Ingredients: Högpastöriserad MJÖLK; vatten; socker (5;2%) modifierad potatisstärkelse; aromer; malen vaniljstång; vaniljextrakt; yoghurtkultur; Lactobacillus acidophilus; Bifidobacterium sp. och D-vitamin.Nutrition values per 100 gram:    energi ca 310 kilojoule    energi ca 73 kilokalori    fett ca 2.1 gram    varav mättat fett ca 1.2 gram    kolhydrat ca 10 gram    varav sockerarter ca 9.9 gram    protein ca 3.6 gram    salt ca 0.1 gram    vitamin D ca 1 mikrogram    vitamin B12 ca 0.4 mikrogram    kalcium ca 120 milligram    energi ca 310 kilojoule    energi ca 73 kilokalori    fett ca 2.1 gram    varav mättat fett ca 1.2 gram    kolhydrat ca 10 gram    varav sockerarter ca 9.9 gram    protein ca 3.6 gram    salt ca 0.1 gram    vitamin D ca 1 mikrogram    vitamin B12 ca 0.4 mikrogram    kalcium ca 120 milligram
Yoggi-Strawberry-Yoghurt,Yoghurt,Vaniljyoghurt Jordgubb 2%,Manufacturer and volume: YOGGI ; 1kg Manufacturing country: Sverige Ingredients: MJÖLK; jordgubbar 8 %; socker 8 %; MJÖLKPROTEIN; majsstärkelse; naturlig arom; vaniljextrakt; yoghurtkultur; vitamin D. Mjölken är högpastöriserad.Nutrition values per 100 gram:    energi ca 350 kilojoule    energi ca 80 kilokalori    fett ca 2 gram    varav mättat fett ca 1.3 gram    kolhydrat ca 13 gram    varav sockerarter ca 12 gram    protein ca 3.3 gram    salt ca 0.1 gram    vitamin D ca 0.93 mikrogram
